# Renewables.ninja Solar PV (Point API) - 49.956, 9.473 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "49.9564186074889", "lon": "9.472656249971816", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,1,0,0,4.209
2019-01-01 01:00,2019-01-01 02:00,0,0,0,4.233
2019-01-01 02:00,2019-01-01 03:00,0,0,0,4.284
2019-01-01 03:00,2019-01-01 04:00,0,0,0,4.317
2019-01-01 04:00,2019-01-01 05:00,0,0,0,4.269
2019-01-01 05:00,2019-01-01 06:00,0,0,0,4.084
2019-01-01 06:00,2019-01-01 07:00,0,0,0,3.891
2019-01-01 07:00,2019-01-01 08:00,0,0,0.002,3.641
2019-01-01 08:00,2019-01-01 09:00,0.012,0.002,0.021,3.630
2019-01-01 09:00,2019-01-01 10:00,0.051,0.007,0.061,3.895
2019-01-01 10:00,2019-01-01 11:00,0.073,0.010,0.081,4.361
2019-01-01 11:00,2019-01-01 12:00,0.027,0.002,0.039,4.453
2019-01-01 12:00,2019-01-01 13:00,0.016,0.001,0.027,4.397
2019-01-01 13:00,2019-01-01 14:00,0.005,0,0.014,4.349
2019-01-01 14:00,2019-01-01 15:00,0.001,0,0.007,4.346
2019-01-01 15:00,2019-01-01 16:00,0,0,0,4.388
2019-01-01 16:00,2019-01-01 17:00,0,0,0,4.437
2019-01-01 17:00,2019-01-01 18:00,0,0,0,4.167
2019-01-01 18:00,2019-01-01 19:00,0,0,0,3.414
2019-01-01 19:00,2019-01-01 20:00,0,0,0,3.048
2019-01-01 20:00,2019-01-01 21:00,0,0,0,2.742
2019-01-01 21:00,2019-01-01 22:00,0,0,0,2.167
2019-01-01 22:00,2019-01-01 23:00,0,0,0,1.551
2019-01-01 23:00,2019-01-02 00:00,0,0,0,0.912
2019-01-02 00:00,2019-01-02 01:00,0,0,0,0.302
2019-01-02 01:00,2019-01-02 02:00,0,0,0,-0.036
2019-01-02 02:00,2019-01-02 03:00,0,0,0,0.041
2019-01-02 03:00,2019-01-02 04:00,0,0,0,0.177
2019-01-02 04:00,2019-01-02 05:00,0,0,0,0.132
2019-01-02 05:00,2019-01-02 06:00,0,0,0,0.113
2019-01-02 06:00,2019-01-02 07:00,0,0,0,0.066
2019-01-02 07:00,2019-01-02 08:00,0.010,0.012,0.008,-0.030
2019-01-02 08:00,2019-01-02 09:00,0.143,0.110,0.051,0.643
2019-01-02 09:00,2019-01-02 10:00,0.322,0.276,0.074,1.657
2019-01-02 10:00,2019-01-02 11:00,0.417,0.373,0.083,2.596
